case_id,group,family,state,allocated_images,cell,left,right,point,representative,lower_at_representative,upper_at_representative,decision
image-00,singleton,exact_projection,complete,1,0,0/1,0/1,True,0/1,2/1,2/1,supported
image-00,singleton,exact_projection,complete,1,1,0/1,1/1,False,1/2,1/1,1/1,supported
image-00,singleton,exact_projection,complete,1,2,1/1,1/1,True,1/1,0/1,0/1,excluded
image-00,singleton,one_edit_global,complete,1,0,0/1,0/1,True,0/1,1/1,3/1,supported
image-00,singleton,one_edit_global,complete,1,1,0/1,1/2,False,1/4,1/2,5/2,supported
image-00,singleton,one_edit_global,complete,1,2,1/2,1/2,True,1/2,0/1,2/1,unresolved
image-00,singleton,one_edit_global,complete,1,3,1/2,1/1,False,3/4,-1/2,3/2,unresolved
image-00,singleton,one_edit_global,complete,1,4,1/1,1/1,True,1/1,-1/1,1/1,unresolved
image-00,singleton,one_edit_per_image,complete,1,0,0/1,0/1,True,0/1,1/1,3/1,supported
image-00,singleton,one_edit_per_image,complete,1,1,0/1,1/2,False,1/4,1/2,5/2,supported
image-00,singleton,one_edit_per_image,complete,1,2,1/2,1/2,True,1/2,0/1,2/1,unresolved
image-00,singleton,one_edit_per_image,complete,1,3,1/2,1/1,False,3/4,-1/2,3/2,unresolved
image-00,singleton,one_edit_per_image,complete,1,4,1/1,1/1,True,1/1,-1/1,1/1,unresolved
image-00,singleton,axis_translation_1_1,complete,1,0,0/1,0/1,True,0/1,2/1,2/1,supported
image-00,singleton,axis_translation_1_1,complete,1,1,0/1,1/1,False,1/2,1/1,1/1,supported
image-00,singleton,axis_translation_1_1,complete,1,2,1/1,1/1,True,1/1,0/1,0/1,excluded
image-00,singleton,axis_translation_2_1,complete,1,0,0/1,0/1,True,0/1,2/1,2/1,supported
image-00,singleton,axis_translation_2_1,complete,1,1,0/1,1/1,False,1/2,1/1,1/1,supported
image-00,singleton,axis_translation_2_1,complete,1,2,1/1,1/1,True,1/1,0/1,0/1,excluded
image-00,singleton,axis_translation_4_1,complete,1,0,0/1,0/1,True,0/1,2/1,2/1,supported
image-00,singleton,axis_translation_4_1,complete,1,1,0/1,1/1,False,1/2,1/1,1/1,supported
image-00,singleton,axis_translation_4_1,complete,1,2,1/1,1/1,True,1/1,0/1,0/1,excluded
image-00,singleton,axis_translation_8_1,complete,1,0,0/1,0/1,True,0/1,2/1,2/1,supported
