threshold,case_id,group,family,allocated_images,blocked_image_count,decision,evidence,mean_lower,mean_upper,attained_lower,attained_upper
1/4,image-00,singleton,exact_projection,1,0,supported,universal_bound,2,2,2,2
1/4,image-00,singleton,one_edit_per_image,1,0,unresolved,opposite_worlds,0,4,0,4
1/4,image-00,singleton,one_edit_global,1,0,unresolved,opposite_worlds,0,4,0,4
1/4,image-00,singleton,current_strict,1,0,supported,universal_bound,2,2,2,2
1/4,image-00,singleton,current_partial,1,0,supported,universal_bound,2,2,2,2
1/4,image-00,singleton,union_strict,1,0,supported,universal_bound,2,2,2,2
1/4,image-00,singleton,union_partial,1,0,supported,universal_bound,2,2,2,2
1/4,image-01,singleton,exact_projection,1,0,supported,universal_bound,3,3,3,3
1/4,image-01,singleton,one_edit_per_image,1,0,supported,universal_bound,1,7,1,7
1/4,image-01,singleton,one_edit_global,1,0,supported,universal_bound,1,7,1,7
1/4,image-01,singleton,current_strict,1,0,supported,universal_bound,3,3,3,3
1/4,image-01,singleton,current_partial,1,0,supported,universal_bound,3,3,3,3
1/4,image-01,singleton,union_strict,1,0,supported,universal_bound,3,3,3,3
1/4,image-01,singleton,union_partial,1,0,supported,universal_bound,3,3,3,3
1/4,image-02,singleton,exact_projection,1,0,supported,universal_bound,2,2,2,2
1/4,image-02,singleton,one_edit_per_image,1,0,unresolved,opposite_worlds,0,6,0,6
1/4,image-02,singleton,one_edit_global,1,0,unresolved,opposite_worlds,0,6,0,6
1/4,image-02,singleton,current_strict,1,0,supported,universal_bound,2,2,2,2
1/4,image-02,singleton,current_partial,1,0,supported,universal_bound,2,2,2,2
1/4,image-02,singleton,union_strict,1,0,supported,universal_bound,2,2,2,2
1/4,image-02,singleton,union_partial,1,0,supported,universal_bound,2,2,2,2
1/4,image-03,singleton,exact_projection,1,0,excluded,universal_bound,0,0,0,0
1/4,image-03,singleton,one_edit_per_image,1,0,excluded,universal_bound,-2,0,-2,0
1/4,image-03,singleton,one_edit_global,1,0,excluded,universal_bound,-2,0,-2,0
1/4,image-03,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0
1/4,image-03,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0
1/4,image-03,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0
1/4,image-03,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0
1/4,image-04,singleton,exact_projection,1,0,excluded,universal_bound,0,0,0,0
1/4,image-04,singleton,one_edit_per_image,1,0,unresolved,opposite_worlds,-2,2,-2,2
1/4,image-04,singleton,one_edit_global,1,0,unresolved,opposite_worlds,-2,2,-2,2
1/4,image-04,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0
1/4,image-04,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0
1/4,image-04,singleton,union_strict,1,1,input_blocked,,,,,
1/4,image-04,singleton,union_partial,1,0,unresolved,opposite_worlds,-2,2,-2,2
1/4,image-05,singleton,exact_projection,1,0,excluded,universal_bound,0,0,0,0
1/4,image-05,singleton,one_edit_per_image,1,0,unresolved,opposite_worlds,-2,2,-2,2
1/4,image-05,singleton,one_edit_global,1,0,unresolved,opposite_worlds,-2,2,-2,2
1/4,image-05,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0
1/4,image-05,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0
1/4,image-05,singleton,union_strict,1,1,input_blocked,,,,,
1/4,image-05,singleton,union_partial,1,0,unresolved,opposite_worlds,-2,2,-2,2
1/4,image-06,singleton,exact_projection,1,0,excluded,universal_bound,0,0,0,0
1/4,image-06,singleton,one_edit_per_image,1,0,unresolved,opposite_worlds,-2,2,-2,2
1/4,image-06,singleton,one_edit_global,1,0,unresolved,opposite_worlds,-2,2,-2,2
1/4,image-06,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0
1/4,image-06,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0
1/4,image-06,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0
1/4,image-06,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0
1/4,image-07,singleton,exact_projection,1,0,supported,universal_bound,1,1,1,1
1/4,image-07,singleton,one_edit_per_image,1,0,unresolved,opposite_worlds,-1,3,-1,3
1/4,image-07,singleton,one_edit_global,1,0,unresolved,opposite_worlds,-1,3,-1,3
1/4,image-07,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1
1/4,image-07,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1
1/4,image-07,singleton,union_strict,1,0,supported,universal_bound,1,1,1,1
1/4,image-07,singleton,union_partial,1,0,supported,universal_bound,1,1,1,1
1/4,image-08,singleton,exact_projection,1,0,excluded,universal_bound,0,0,0,0
1/4,image-08,singleton,one_edit_per_image,1,0,unresolved,opposite_worlds,-4,4,-4,4
1/4,image-08,singleton,one_edit_global,1,0,unresolved,opposite_worlds,-4,4,-4,4
1/4,image-08,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0
1/4,image-08,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0
1/4,image-08,singleton,union_strict,1,1,input_blocked,,,,,
1/4,image-08,singleton,union_partial,1,0,unresolved,opposite_worlds,-2,2,-2,2
1/4,image-09,singleton,exact_projection,1,0,excluded,universal_bound,-1,-1,-1,-1
1/4,image-09,singleton,one_edit_per_image,1,0,unresolved,opposite_worlds,-3,1,-3,1
1/4,image-09,singleton,one_edit_global,1,0,unresolved,opposite_worlds,-3,1,-3,1
1/4,image-09,singleton,current_strict,1,1,input_blocked,,,,,
1/4,image-09,singleton,current_partial,1,0,unresolved,opposite_worlds,-5,3,-5,3
1/4,image-09,singleton,union_strict,1,1,input_blocked,,,,,
1/4,image-09,singleton,union_partial,1,0,unresolved,opposite_worlds,-7,5,-5,5
1/4,image-10,singleton,exact_projection,1,0,supported,universal_bound,2,2,2,2
1/4,image-10,singleton,one_edit_per_image,1,0,unresolved,opposite_worlds,0,4,0,4
1/4,image-10,singleton,one_edit_global,1,0,unresolved,opposite_worlds,0,4,0,4
1/4,image-10,singleton,current_strict,1,0,supported,universal_bound,2,2,2,2
1/4,image-10,singleton,current_partial,1,0,supported,universal_bound,2,2,2,2
1/4,image-10,singleton,union_strict,1,0,supported,universal_bound,2,2,2,2
1/4,image-10,singleton,union_partial,1,0,supported,universal_bound,2,2,2,2
1/4,image-11,singleton,exact_projection,1,0,supported,universal_bound,4,4,4,4
1/4,image-11,singleton,one_edit_per_image,1,0,supported,universal_bound,2,6,2,6
1/4,image-11,singleton,one_edit_global,1,0,supported,universal_bound,2,6,2,6
1/4,image-11,singleton,current_strict,1,1,input_blocked,,,,,
1/4,image-11,singleton,current_partial,1,0,supported,universal_bound,2,6,2,4
1/4,image-11,singleton,union_strict,1,1,input_blocked,,,,,
