model,false_positives,misses,attained_cell_ids
YOLO11n,0,285,cell-0277
YOLO11n,1,268,cell-0259
YOLO11n,2,266,cell-0256
YOLO11n,3,264,cell-0253
YOLO11n,4,252,cell-0240
YOLO11n,5,249,cell-0236
YOLO11n,7,241,cell-0226
YOLO11n,9,238,cell-0221
YOLO11n,10,227,cell-0209
YOLO11n,11,225,cell-0206
YOLO11n,12,224,cell-0204
YOLO11n,13,220,cell-0199
YOLO11n,14,219,cell-0197
YOLO11n,16,218,cell-0194
YOLO11n,17,208,cell-0183
YOLO11n,19,207,cell-0180
YOLO11n,20,204,cell-0176
YOLO11n,21,198,cell-0169
YOLO11n,22,197,cell-0167
YOLO11n,23,196,cell-0165
YOLO11n,24,193,cell-0161
YOLO11n,25,192,cell-0159
YOLO11n,26,191,cell-0157
YOLO11n,27,190,cell-0155
YOLO11n,28,185,cell-0149
YOLO11n,29,184,cell-0147
YOLO11n,32,181,cell-0141
YOLO11n,34,177,cell-0135
YOLO11n,35,175,cell-0132
YOLO11n,37,170,cell-0125
YOLO11n,38,169,cell-0123
YOLO11n,40,168,cell-0120
YOLO11n,42,167,cell-0117
YOLO11n,45,165,cell-0112
YOLO11n,46,164,cell-0110
YOLO11n,59,163,cell-0096
YOLO11n,60,160,cell-0092
YOLO11n,62,156,cell-0086
YOLO11n,67,155,cell-0080
YOLO11n,69,154,cell-0077
YOLO11n,74,151,cell-0069
YOLO11n,75,149,cell-0066
YOLO11n,76,148,cell-0064
YOLO11n,77,146,cell-0061
YOLO11n,83,145,cell-0054
YOLO11n,84,144,cell-0052
YOLO11n,85,143,cell-0050
YOLO11n,89,142,cell-0045
YOLO11n,100,140,cell-0032
YOLO11n,101,139,cell-0030
YOLO11n,103,138,cell-0027
YOLO11n,106,137,cell-0023
YOLO11n,111,136,cell-0017
YOLO11n,126,135,cell-0001
YOLO26n,0,284,cell-0197
YOLO26n,1,279,cell-0191
YOLO26n,2,267,cell-0178
YOLO26n,3,264,cell-0174
YOLO26n,4,261,cell-0170
YOLO26n,5,257,cell-0165
YOLO26n,6,248,cell-0155
YOLO26n,8,243,cell-0148
YOLO26n,10,236,cell-0139
YOLO26n,11,234,cell-0136
YOLO26n,12,231,cell-0132
YOLO26n,13,230,cell-0130
YOLO26n,16,225,cell-0122
YOLO26n,17,215,cell-0111
YOLO26n,18,214,cell-0109
YOLO26n,19,210,cell-0104
YOLO26n,20,208,cell-0101
YOLO26n,21,207,cell-0099
YOLO26n,22,203,cell-0094
YOLO26n,25,201,cell-0089
YOLO26n,26,200,cell-0087
YOLO26n,28,197,cell-0082
YOLO26n,31,195,cell-0077
YOLO26n,32,193,cell-0074
YOLO26n,33,190,cell-0070
YOLO26n,34,182,cell-0061
YOLO26n,36,180,cell-0057
YOLO26n,38,179,cell-0054
YOLO26n,40,174,cell-0047
YOLO26n,41,169,cell-0041
YOLO26n,43,168,cell-0038
YOLO26n,44,167,cell-0036
YOLO26n,45,166,cell-0034
YOLO26n,46,165,cell-0032
YOLO26n,47,164,cell-0030
YOLO26n,51,163,cell-0025
YOLO26n,55,161,cell-0019
YOLO26n,63,160,cell-0010
YOLO26n,64,159,cell-0008
YOLO26n,65,157,cell-0005
YOLO26n,69,156,cell-0000
