false_positive_budget,old_state,new_state,old_minimum_misses,new_minimum_misses,old_attained_cell_ids,new_attained_cell_ids,miss_difference_old_minus_new,comparison
0,available,available,285,284,cell-0277,cell-0197,1,new_fewer_misses
1,available,available,268,279,cell-0259,cell-0191,-11,old_fewer_misses
2,available,available,266,267,cell-0256,cell-0178,-1,old_fewer_misses
3,available,available,264,264,cell-0253,cell-0174,0,equal_misses
4,available,available,252,261,cell-0240,cell-0170,-9,old_fewer_misses
5,available,available,249,257,cell-0236,cell-0165,-8,old_fewer_misses
6,available,available,249,248,cell-0235 cell-0236,cell-0155,1,new_fewer_misses
7,available,available,241,248,cell-0226,cell-0154 cell-0155,-7,old_fewer_misses
8,available,available,241,243,cell-0225 cell-0226,cell-0148,-2,old_fewer_misses
9,available,available,238,243,cell-0221,cell-0147 cell-0148,-5,old_fewer_misses
10,available,available,227,236,cell-0209,cell-0139,-9,old_fewer_misses
11,available,available,225,234,cell-0206,cell-0136,-9,old_fewer_misses
12,available,available,224,231,cell-0204,cell-0132,-7,old_fewer_misses
13,available,available,220,230,cell-0199,cell-0130,-10,old_fewer_misses
14,available,available,219,230,cell-0197,cell-0129 cell-0130,-11,old_fewer_misses
15,available,available,219,230,cell-0196 cell-0197,cell-0128 cell-0129 cell-0130,-11,old_fewer_misses
16,available,available,218,225,cell-0194,cell-0122,-7,old_fewer_misses
17,available,available,208,215,cell-0183,cell-0111,-7,old_fewer_misses
18,available,available,208,214,cell-0182 cell-0183,cell-0109,-6,old_fewer_misses
19,available,available,207,210,cell-0180,cell-0104,-3,old_fewer_misses
20,available,available,204,208,cell-0176,cell-0101,-4,old_fewer_misses
21,available,available,198,207,cell-0169,cell-0099,-9,old_fewer_misses
22,available,available,197,203,cell-0167,cell-0094,-6,old_fewer_misses
23,available,available,196,203,cell-0165,cell-0093 cell-0094,-7,old_fewer_misses
24,available,available,193,203,cell-0161,cell-0092 cell-0093 cell-0094,-10,old_fewer_misses
25,available,available,192,201,cell-0159,cell-0089,-9,old_fewer_misses
26,available,available,191,200,cell-0157,cell-0087,-9,old_fewer_misses
27,available,available,190,200,cell-0155,cell-0086 cell-0087,-10,old_fewer_misses
28,available,available,185,197,cell-0149,cell-0082,-12,old_fewer_misses
29,available,available,184,197,cell-0147,cell-0081 cell-0082,-13,old_fewer_misses
30,available,available,184,197,cell-0146 cell-0147,cell-0080 cell-0081 cell-0082,-13,old_fewer_misses
31,available,available,184,195,cell-0145 cell-0146 cell-0147,cell-0077,-11,old_fewer_misses
32,available,available,181,193,cell-0141,cell-0074,-12,old_fewer_misses
33,available,available,181,190,cell-0140 cell-0141,cell-0070,-9,old_fewer_misses
34,available,available,177,182,cell-0135,cell-0061,-5,old_fewer_misses
35,available,available,175,182,cell-0132,cell-0060 cell-0061,-7,old_fewer_misses
36,available,available,175,180,cell-0131 cell-0132,cell-0057,-5,old_fewer_misses
37,available,available,170,180,cell-0125,cell-0056 cell-0057,-10,old_fewer_misses
38,available,available,169,179,cell-0123,cell-0054,-10,old_fewer_misses
39,available,available,169,179,cell-0122 cell-0123,cell-0053 cell-0054,-10,old_fewer_misses
40,available,available,168,174,cell-0120,cell-0047,-6,old_fewer_misses
41,available,available,168,169,cell-0119 cell-0120,cell-0041,-1,old_fewer_misses
42,available,available,167,169,cell-0117,cell-0040 cell-0041,-2,old_fewer_misses
43,available,available,167,168,cell-0116 cell-0117,cell-0038,-1,old_fewer_misses
44,available,available,167,167,cell-0115 cell-0116 cell-0117,cell-0036,0,equal_misses
45,available,available,165,166,cell-0112,cell-0034,-1,old_fewer_misses
46,available,available,164,165,cell-0110,cell-0032,-1,old_fewer_misses
47,available,available,164,164,cell-0109 cell-0110,cell-0030,0,equal_misses
48,available,available,164,164,cell-0108 cell-0109 cell-0110,cell-0029 cell-0030,0,equal_misses
49,available,available,164,164,cell-0107 cell-0108 cell-0109 cell-0110,cell-0028 cell-0029 cell-0030,0,equal_misses
50,available,available,164,164,cell-0106 cell-0107 cell-0108 cell-0109 cell-0110,cell-0027 cell-0028 cell-0029 cell-0030,0,equal_misses
51,available,available,164,163,cell-0105 cell-0106 cell-0107 cell-0108 cell-0109 cell-0110,cell-0025,1,new_fewer_misses
52,available,available,164,163,cell-0104 cell-0105 cell-0106 cell-0107 cell-0108 cell-0109 cell-0110,cell-0024 cell-0025,1,new_fewer_misses
53,available,available,164,163,cell-0103 cell-0104 cell-0105 cell-0106 cell-0107 cell-0108 cell-0109 cell-0110,cell-0023 cell-0024 cell-0025,1,new_fewer_misses
54,available,available,164,163,cell-0102 cell-0103 cell-0104 cell-0105 cell-0106 cell-0107 cell-0108 cell-0109 cell-0110,cell-0022 cell-0023 cell-0024 cell-0025,1,new_fewer_misses
55,available,available,164,161,cell-0101 cell-0102 cell-0103 cell-0104 cell-0105 cell-0106 cell-0107 cell-0108 cell-0109 cell-0110,cell-0019,3,new_fewer_misses
56,available,available,164,161,cell-0100 cell-0101 cell-0102 cell-0103 cell-0104 cell-0105 cell-0106 cell-0107 cell-0108 cell-0109 cell-0110,cell-0018 cell-0019,3,new_fewer_misses
57,available,available,164,161,cell-0099 cell-0100 cell-0101 cell-0102 cell-0103 cell-0104 cell-0105 cell-0106 cell-0107 cell-0108 cell-0109 cell-0110,cell-0017 cell-0018 cell-0019,3,new_fewer_misses
58,available,available,164,161,cell-0098 cell-0099 cell-0100 cell-0101 cell-0102 cell-0103 cell-0104 cell-0105 cell-0106 cell-0107 cell-0108 cell-0109 cell-0110,cell-0016 cell-0017 cell-0018 cell-0019,3,new_fewer_misses
59,available,available,163,161,cell-0096,cell-0015 cell-0016 cell-0017 cell-0018 cell-0019,2,new_fewer_misses
60,available,available,160,161,cell-0092,cell-0014 cell-0015 cell-0016 cell-0017 cell-0018 cell-0019,-1,old_fewer_misses
61,available,available,160,161,cell-0091 cell-0092,cell-0013 cell-0014 cell-0015 cell-0016 cell-0017 cell-0018 cell-0019,-1,old_fewer_misses
62,available,available,156,161,cell-0086,cell-0012 cell-0013 cell-0014 cell-0015 cell-0016 cell-0017 cell-0018 cell-0019,-5,old_fewer_misses
63,available,available,156,160,cell-0085 cell-0086,cell-0010,-4,old_fewer_misses
64,available,available,156,159,cell-0084 cell-0085 cell-0086,cell-0008,-3,old_fewer_misses
65,available,available,156,157,cell-0083 cell-0084 cell-0085 cell-0086,cell-0005,-1,old_fewer_misses
66,available,available,156,157,cell-0082 cell-0083 cell-0084 cell-0085 cell-0086,cell-0004 cell-0005,-1,old_fewer_misses
67,available,available,155,157,cell-0080,cell-0003 cell-0004 cell-0005,-2,old_fewer_misses
