cell_id,threshold_left,threshold_right,left_closed,right_closed,case_id,group,family,allocated_images,blocked_image_count,decision,evidence,mean_lower,mean_upper,attained_lower,attained_upper
cell-0000,1/4,2529367506504059/10000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,37/64,37/64,37/64,37/64
cell-0000,1/4,2529367506504059/10000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-89/64,173/64,-89/64,173/64
cell-0000,1/4,2529367506504059/10000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,33/64,41/64,33/64,41/64
cell-0000,1/4,2529367506504059/10000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0000,1/4,2529367506504059/10000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-43/64,99/64,-27/64,73/64
cell-0000,1/4,2529367506504059/10000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0000,1/4,2529367506504059/10000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0001,2529367506504059/10000000000000000,5101383924484253/20000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,9/16,9/16,9/16,9/16
cell-0001,2529367506504059/10000000000000000,5101383924484253/20000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-45/32,87/32,-45/32,43/16
cell-0001,2529367506504059/10000000000000000,5101383924484253/20000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,1/2,5/8,1/2,5/8
cell-0001,2529367506504059/10000000000000000,5101383924484253/20000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0001,2529367506504059/10000000000000000,5101383924484253/20000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-11/16,49/32,-7/16,9/8
cell-0001,2529367506504059/10000000000000000,5101383924484253/20000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0001,2529367506504059/10000000000000000,5101383924484253/20000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0002,5101383924484253/20000000000000000,5124431848526001/20000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,35/64,35/64,35/64,35/64
cell-0002,5101383924484253/20000000000000000,5124431848526001/20000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-91/64,173/64,-91/64,171/64
cell-0002,5101383924484253/20000000000000000,5124431848526001/20000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,31/64,39/64,31/64,39/64
cell-0002,5101383924484253/20000000000000000,5124431848526001/20000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0002,5101383924484253/20000000000000000,5124431848526001/20000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-45/64,97/64,-29/64,71/64
cell-0002,5101383924484253/20000000000000000,5124431848526001/20000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0002,5101383924484253/20000000000000000,5124431848526001/20000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0003,5124431848526001/20000000000000000,1283547282218933/5000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,9/16,9/16,9/16,9/16
cell-0003,5124431848526001/20000000000000000,1283547282218933/5000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-45/32,87/32,-45/32,43/16
cell-0003,5124431848526001/20000000000000000,1283547282218933/5000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,1/2,5/8,1/2,5/8
cell-0003,5124431848526001/20000000000000000,1283547282218933/5000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0003,5124431848526001/20000000000000000,1283547282218933/5000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-11/16,49/32,-7/16,9/8
cell-0003,5124431848526001/20000000000000000,1283547282218933/5000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0003,5124431848526001/20000000000000000,1283547282218933/5000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0004,1283547282218933/5000000000000000,25780555605888367/100000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,35/64,35/64,35/64,35/64
cell-0004,1283547282218933/5000000000000000,25780555605888367/100000000000000000,True,False,all-64,primary,one_edit_per_image,64,0,unresolved,opposite_worlds,-91/64,173/64,-91/64,171/64
cell-0004,1283547282218933/5000000000000000,25780555605888367/100000000000000000,True,False,all-64,primary,one_edit_global,64,0,supported,universal_bound,31/64,39/64,31/64,39/64
cell-0004,1283547282218933/5000000000000000,25780555605888367/100000000000000000,True,False,all-64,primary,current_strict,64,25,input_blocked,,,,,
cell-0004,1283547282218933/5000000000000000,25780555605888367/100000000000000000,True,False,all-64,primary,current_partial,64,0,unresolved,opposite_worlds,-45/64,97/64,-29/64,71/64
cell-0004,1283547282218933/5000000000000000,25780555605888367/100000000000000000,True,False,all-64,primary,union_strict,64,36,input_blocked,,,,,
cell-0004,1283547282218933/5000000000000000,25780555605888367/100000000000000000,True,False,all-64,primary,union_partial,64,1,input_blocked,,,,,
cell-0005,25780555605888367/100000000000000000,5180201530456543/20000000000000000,True,False,all-64,primary,exact_projection,64,0,supported,universal_bound,17/32,17/32,17/32,17/32
