comparison_changes,delta_mean_at_probe,delta_mean_coefficients,delta_total_coefficients,envelope_comparison,fixed_cutoff_comparison,id,kind,left,left_closed,new_loss_coefficients,new_minimizers,old_loss_coefficients,old_minimizers,probe,right,right_closed,strict_new_improvement
True,0,0 1/64,0 1,tie,new_lower,penalty-0000,point,0,True,0 284,cell-0197 cell-0198 cell-0199 cell-0200 cell-0201 cell-0202 cell-0203 cell-0204 cell-0205 cell-0206 cell-0207 cell-0208 cell-0209 cell-0210 cell-0211 cell-0212 cell-0213 cell-0214 cell-0215 cell-0216 cell-0217 cell-0218 cell-0219,0 285,cell-0277 cell-0278 cell-0279 cell-0280 cell-0281 cell-0282 cell-0283 cell-0284 cell-0285 cell-0286 cell-0287 cell-0288 cell-0289 cell-0290 cell-0291 cell-0292 cell-0293 cell-0294 cell-0295 cell-0296 cell-0297 cell-0298,0,0,True,excluded_nominal
False,1/2304,0 1/64,0 1,new_lower,new_lower,penalty-0001,open_interval,0,False,0 284,cell-0197,0 285,cell-0277,1/36,1/18,False,supported_nominal
False,1/1152,1/64 -17/64,1 -17,new_lower,new_lower,penalty-0002,point,1/18,True,0 284,cell-0197,1 267,cell-0259 cell-0277,1/18,1/18,True,supported_nominal
False,1/2304,1/64 -17/64,1 -17,new_lower,new_lower,penalty-0003,open_interval,1/18,False,0 284,cell-0197,1 267,cell-0259,35/612,1/17,False,supported_nominal
True,0,1/64 -17/64,1 -17,tie,new_lower,penalty-0004,point,1/17,True,0 284,cell-0197,1 267,cell-0259,1/17,1/17,True,excluded_nominal
True,-15/2432,1/64 -17/64,1 -17,old_lower,new_lower,penalty-0005,open_interval,1/17,False,0 284,cell-0197,1 267,cell-0259,53/646,2/19,False,excluded_nominal
True,-15/1216,-1/64 1/32,-1 2,old_lower,new_lower,penalty-0006,point,2/19,True,2 265,cell-0178 cell-0197,1 267,cell-0259,2/19,2/19,True,excluded_nominal
True,-7/608,-1/64 1/32,-1 2,old_lower,new_lower,penalty-0007,open_interval,2/19,False,2 265,cell-0178,1 267,cell-0259,5/38,3/19,False,excluded_nominal
True,-13/1216,1/32 -17/64,2 -17,old_lower,new_lower,penalty-0008,point,3/19,True,2 265,cell-0178,4 248,cell-0240 cell-0259,3/19,3/19,True,excluded_nominal
True,-717/55936,1/32 -17/64,2 -17,old_lower,new_lower,penalty-0009,open_interval,3/19,False,2 265,cell-0178,4 248,cell-0240,145/874,4/23,False,excluded_nominal
True,-11/736,-1/32 3/32,-2 6,old_lower,new_lower,penalty-0010,point,4/23,True,6 242,cell-0155 cell-0178,4 248,cell-0240,4/23,4/23,True,excluded_nominal
True,-10/713,-1/32 3/32,-2 6,old_lower,new_lower,penalty-0011,open_interval,4/23,False,6 242,cell-0155,4 248,cell-0240,131/713,6/31,False,excluded_nominal
True,-13/992,1/16 -25/64,4 -25,old_lower,new_lower,penalty-0012,point,6/31,True,6 242,cell-0155,10 217,cell-0209 cell-0240,6/31,6/31,True,excluded_nominal
True,-383/15872,1/16 -25/64,4 -25,old_lower,new_lower,penalty-0013,open_interval,6/31,False,6 242,cell-0155,10 217,cell-0209,55/248,1/4,False,excluded_nominal
True,-9/256,-7/64 19/64,-7 19,old_lower,new_lower,penalty-0014,point,1/4,True,17 198,cell-0111 cell-0139 cell-0155,10 217,cell-0209,1/4,1/4,True,excluded_nominal
True,-215/6656,-7/64 19/64,-7 19,old_lower,new_lower,penalty-0015,open_interval,1/4,False,17 198,cell-0111,10 217,cell-0209,27/104,7/26,False,excluded_nominal
True,-49/1664,0 -7/64,0 -7,old_lower,new_lower,penalty-0016,point,7/26,True,17 198,cell-0111,17 191,cell-0183 cell-0209,7/26,7/26,True,excluded_nominal
True,-101/3328,0 -7/64,0 -7,old_lower,new_lower,penalty-0017,open_interval,7/26,False,17 198,cell-0111,17 191,cell-0183,101/364,2/7,False,excluded_nominal
True,-1/32,1/32 -7/32,2 -14,old_lower,new_lower,penalty-0018,point,2/7,True,19 191,cell-0104 cell-0111,21 177,cell-0169 cell-0183,2/7,2/7,True,excluded_nominal
True,-21/640,1/32 -7/32,2 -14,old_lower,new_lower,penalty-0019,open_interval,2/7,False,19 191,cell-0104,21 177,cell-0169,41/140,3/10,False,excluded_nominal
True,-11/320,-1/64 -1/16,-1 -4,old_lower,new_lower,penalty-0020,point,3/10,True,22 181,cell-0094 cell-0104,21 177,cell-0169,3/10,3/10,True,excluded_nominal
True,-23/640,-1/64 -1/16,-1 -4,old_lower,new_lower,penalty-0021,open_interval,3/10,False,22 181,cell-0094,21 177,cell-0169,13/40,7/20,False,excluded_nominal
True,-3/80,3/32 -3/8,6 -24,old_lower,new_lower,penalty-0022,point,7/20,True,22 181,cell-0094,28 157,cell-0149 cell-0169,7/20,7/20,True,excluded_nominal
True,-663/16960,3/32 -3/8,6 -24,old_lower,new_lower,penalty-0023,open_interval,7/20,False,22 181,cell-0094,28 157,cell-0149,751/2120,19/53,False,excluded_nominal
True,-69/1696,-13/64 29/64,-13 29,old_lower,new_lower,penalty-0024,point,19/53,True,41 128,cell-0041 cell-0094,28 157,cell-0149,19/53,19/53,True,excluded_nominal
True,-2005/54272,-13/64 29/64,-13 29,old_lower,new_lower,penalty-0025,open_interval,19/53,False,41 128,cell-0041,28 157,cell-0149,311/848,3/8,False,excluded_nominal
True,-17/512,-1/16 5/64,-4 5,old_lower,new_lower,penalty-0026,point,3/8,True,41 128,cell-0041,37 133,cell-0125 cell-0149,3/8,3/8,True,excluded_nominal
True,-29/1024,-1/16 5/64,-4 5,old_lower,new_lower,penalty-0027,open_interval,3/8,False,41 128,cell-0041,37 133,cell-0125,7/16,1/2,False,excluded_nominal
True,-3/128,-3/64 3/64,-3 3,old_lower,new_lower,penalty-0028,point,1/2,True,41 128,cell-0041,38 131,cell-0123 cell-0125,1/2,1/2,True,excluded_nominal
