image_id,camera_minus_sample_us,current_cars,modeled_cars,unknown_current_cars,preceding_census_state,preceding_only_cars,unknown_union_cars,known_eligible_references,paired_coordinate_changes,maximum_paired_coordinate_change,original_nominal_delta,known_only_world_delta
image-00,-34245,8,8,0,available,0,0,1,1,170763328177/2000000000000,2,2
image-01,-34833,36,36,0,available,0,0,14,14,29934880641/100000000000,3,3
image-02,-35665,7,7,0,available,0,0,6,6,2370705793527/10000000000000,2,2
image-03,-35739,26,26,0,available,0,0,3,3,329030317383/500000000000,0,0
image-04,-35315,3,3,0,available,1,1,2,2,3772430508187/2500000000000,0,0
image-05,-34142,7,7,0,available,6,6,2,2,854396427557/250000000000,0,0
image-06,-35226,7,7,0,available,0,0,1,1,24151038915643/2000000000000,0,0
image-07,-36674,3,3,0,available,0,0,2,2,2673148212907/10000000000000,1,1
image-08,-36810,24,24,0,available,1,1,14,14,7867132596821/625000000000,0,0
image-09,-35738,31,29,2,available,1,3,5,5,17927226183867/20000000000000,-1,-1
image-10,-36570,9,9,0,available,0,0,4,3,16153053754061/1250000000000,2,2
image-11,-35818,18,17,1,available,1,2,6,6,99308038705191/5000000000000,4,4
image-12,-34713,12,12,0,available,0,0,6,6,6472397281439/10000000000000,-1,-1
image-13,-37124,69,63,6,available,10,16,12,12,247018876819/200000000000,9,9
image-14,-33945,15,13,2,available,0,2,7,7,1039765526297/312500000000,0,0
image-15,-34597,16,16,0,available,0,0,10,10,49946100933511667/2500000000000000,1,1
image-16,-35419,3,3,0,available,0,0,2,2,11978665976891/5000000000000,-1,-1
image-17,-36500,17,17,0,available,0,0,3,3,87416576928077/2000000000000,0,0
image-18,-36675,28,25,3,available,1,4,5,5,4909663683491/10000000000000,0,0
image-19,-37787,2,2,0,available,0,0,1,1,15690516273051/10000000000000,2,2
image-20,-36048,10,10,0,available,0,0,2,2,14793382282213/20000000000000,0,0
image-21,-35851,19,19,0,available,1,1,6,6,462161533576911/50000000000000,1,1
image-22,-36822,26,25,1,available,0,1,12,12,4726334569627/10000000000000,0,0
image-23,-36660,14,14,0,available,1,1,0,0,,0,0
image-24,-34994,7,7,0,available,0,0,2,2,107205151032287/25000000000000,0,0
image-25,-34804,14,14,0,available,1,1,7,7,41111585363499/10000000000000,-1,-1
image-26,-36851,28,28,0,available,0,0,16,16,90941177083583/10000000000000,-3,-3
image-27,-33120,14,11,3,available,3,6,4,4,8434009636903/2000000000000,-1,-1
image-28,-34745,7,6,1,available,2,3,0,0,,2,0
image-29,-35543,22,21,1,available,1,2,7,7,25604564342363513/1000000000000000,1,3
image-30,-36566,31,29,2,available,1,3,14,14,14295818799973/10000000000000,0,0
image-31,-36590,33,31,2,available,3,5,3,3,16883423206741/1250000000000,2,2
image-32,-36481,3,3,0,available,0,0,2,2,2481035997687/5000000000000,1,1
image-33,-36949,13,12,1,available,0,1,5,5,23691296147001/5000000000000,4,4
image-34,-35537,18,18,0,available,1,1,8,8,15490552624661/625000000000,1,1
image-35,-35946,9,9,0,available,0,0,3,3,34654708796643/5000000000000,0,0
image-36,-36954,1,1,0,available,0,0,1,1,0,1,1
image-37,-36262,16,14,2,available,0,2,0,0,,-1,1
image-38,-36993,10,9,1,available,0,1,2,2,19572971557159/100000000000000,1,1
image-39,-33772,11,9,2,available,0,2,3,3,458158826667/2500000000000,-1,-1
image-40,-34601,25,25,0,available,1,1,12,12,103705374371539/10000000000000,0,0
image-41,-36787,25,23,2,available,0,2,2,2,6508410724149/10000000000000,1,1
image-42,-35138,3,3,0,available,1,1,0,0,,0,0
image-43,-34301,10,8,2,available,0,2,1,1,9698417103623/10000000000000,-1,-1
image-44,-36648,7,7,0,available,0,0,0,0,,1,1
image-45,-34804,26,25,1,available,0,1,8,8,6711655368797567/250000000000000,1,1
image-46,-36079,8,8,0,available,2,2,0,0,,-1,-1
image-47,-36287,3,3,0,available,0,0,0,0,,0,0
image-48,-36378,22,22,0,available,0,0,4,4,221410663997949/10000000000000,1,1
image-49,-36960,2,2,0,available,0,0,1,1,12210044229281/10000000000000,0,0
image-50,-36345,3,3,0,available,0,0,1,1,3916108067/25000000000,2,2
image-51,-34591,18,18,0,available,0,0,2,2,15735030590347/100000000000000,0,0
image-52,-35480,8,7,1,available,1,2,2,2,23259911372049/10000000000000,1,1
image-53,-35894,15,15,0,available,0,0,0,0,,0,0
image-54,-37268,26,25,1,available,0,1,3,3,25630852927807/10000000000000,0,0
image-55,-38308,26,25,1,available,0,1,8,8,203793937959157/12500000000000,-2,-2
image-56,-35622,10,10,0,available,0,0,3,3,13880977145933/1250000000000,0,0
image-57,-34846,17,16,1,available,1,2,4,4,18359742918401/10000000000000,2,2
image-58,-37466,26,26,0,available,0,0,3,3,31839070884047/4000000000000,1,1
image-59,-37364,21,19,2,available,3,5,3,3,17651643419039/5000000000000,1,1
image-60,-35430,25,25,0,available,1,1,13,13,87188701988273/10000000000000,-3,-3
image-61,-36770,12,11,1,available,0,1,5,5,23075062048783/5000000000000,1,1
image-62,-34864,20,0,20,unavailable,,,0,0,,3,5
image-63,-35443,30,30,0,available,0,0,3,3,2005221310647/5000000000000,-1,-1
