case_id,group,contract,allocated_images,blocked_image_count,decision,evidence,mean_lower,mean_upper,attained_lower,attained_upper,original_nominal_mean
image-00,singleton,current_strict,1,0,supported,universal_bound,2,2,2,2,2
image-00,singleton,current_partial,1,0,supported,universal_bound,2,2,2,2,2
image-00,singleton,union_strict,1,0,supported,universal_bound,2,2,2,2,2
image-00,singleton,union_partial,1,0,supported,universal_bound,2,2,2,2,2
image-01,singleton,current_strict,1,0,supported,universal_bound,3,3,3,3,3
image-01,singleton,current_partial,1,0,supported,universal_bound,3,3,3,3,3
image-01,singleton,union_strict,1,0,supported,universal_bound,3,3,3,3,3
image-01,singleton,union_partial,1,0,supported,universal_bound,3,3,3,3,3
image-02,singleton,current_strict,1,0,supported,universal_bound,2,2,2,2,2
image-02,singleton,current_partial,1,0,supported,universal_bound,2,2,2,2,2
image-02,singleton,union_strict,1,0,supported,universal_bound,2,2,2,2,2
image-02,singleton,union_partial,1,0,supported,universal_bound,2,2,2,2,2
image-03,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-03,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-03,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-03,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-04,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-04,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-04,singleton,union_strict,1,1,input_blocked,,,,,,0
image-04,singleton,union_partial,1,0,unresolved,bound_gap,-2,2,0,0,0
image-05,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-05,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-05,singleton,union_strict,1,1,input_blocked,,,,,,0
image-05,singleton,union_partial,1,0,unresolved,bound_gap,-2,2,0,0,0
image-06,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-06,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-06,singleton,union_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-06,singleton,union_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-07,singleton,current_strict,1,0,supported,universal_bound,1,1,1,1,1
image-07,singleton,current_partial,1,0,supported,universal_bound,1,1,1,1,1
image-07,singleton,union_strict,1,0,supported,universal_bound,1,1,1,1,1
image-07,singleton,union_partial,1,0,supported,universal_bound,1,1,1,1,1
image-08,singleton,current_strict,1,0,excluded,universal_bound,0,0,0,0,0
image-08,singleton,current_partial,1,0,excluded,universal_bound,0,0,0,0,0
image-08,singleton,union_strict,1,1,input_blocked,,,,,,0
image-08,singleton,union_partial,1,0,unresolved,opposite_worlds,-2,2,-2,2,0
image-09,singleton,current_strict,1,1,input_blocked,,,,,,-1
image-09,singleton,current_partial,1,0,unresolved,opposite_worlds,-5,3,-5,3,-1
image-09,singleton,union_strict,1,1,input_blocked,,,,,,-1
image-09,singleton,union_partial,1,0,unresolved,opposite_worlds,-7,5,-5,5,-1
image-10,singleton,current_strict,1,0,supported,universal_bound,2,2,2,2,2
image-10,singleton,current_partial,1,0,supported,universal_bound,2,2,2,2,2
image-10,singleton,union_strict,1,0,supported,universal_bound,2,2,2,2,2
image-10,singleton,union_partial,1,0,supported,universal_bound,2,2,2,2,2
image-11,singleton,current_strict,1,1,input_blocked,,,,,,4
image-11,singleton,current_partial,1,0,supported,universal_bound,2,6,2,4,4
image-11,singleton,union_strict,1,1,input_blocked,,,,,,4
image-11,singleton,union_partial,1,0,unresolved,opposite_worlds,0,8,0,4,4
image-12,singleton,current_strict,1,0,excluded,universal_bound,-1,-1,-1,-1,-1
