image_id,contract,state,unknown_instances,neighborhoods,unique_flow_measurements,reused_from,stop,universal_lower,universal_upper,previous_attained_lower,previous_attained_upper,attained_lower,attained_upper
image-04,union_partial,complete,1,9,10,,universal_endpoints_attained,-2,2,0,0,-2,2
image-05,union_partial,complete,6,6,7,,universal_endpoints_attained,-2,2,0,0,-2,2
image-18,current_partial,complete,3,3,4,,universal_endpoints_attained,-2,2,0,0,-2,2
image-18,union_partial,complete,4,3,4,,universal_endpoints_attained,-2,2,0,0,-2,2
image-30,current_partial,complete,2,26,38,,universal_endpoints_attained,-4,4,-4,0,-4,4
image-30,union_partial,complete,3,26,274,,universal_endpoints_attained,-6,4,-6,0,-6,4
image-32,current_partial,inherited_exact,0,,0,,,1,1,1,1,1,1
image-33,current_partial,complete,1,31,9,,universal_endpoints_attained,2,6,2,4,2,6
image-34,current_partial,inherited_exact,0,,0,,,1,1,1,1,1,1
image-35,current_partial,inherited_exact,0,,0,,,0,0,0,0,0,0
image-36,current_partial,inherited_exact,0,,0,,,1,1,1,1,1,1
image-37,current_partial,complete,2,4,7,,universal_endpoints_attained,-3,3,-1,1,-3,3
image-38,current_partial,complete,1,24,3,,universal_endpoints_attained,-1,3,-1,3,-1,3
image-39,current_partial,complete,2,7,10,,universal_endpoints_attained,-3,3,-1,1,-3,3
