population,arm,order,probability,exact_stop,exact_decision,stat_stop,stat_decision,stat_reason,e_lower_at_stop,e_upper_at_stop,lower_ever_crossed,upper_ever_crossed
point_positive,uniform,012345,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,012354,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,012435,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,012453,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,012534,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,012543,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,013245,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,013254,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,013425,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,013452,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,013524,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,013542,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,014235,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,014253,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,014325,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,014352,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,014523,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,014532,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,015234,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,015243,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,015324,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,015342,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,015423,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,015432,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,021345,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,021354,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,021435,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,021453,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,021534,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,021543,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,023145,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,023154,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,023415,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,023451,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,023514,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,023541,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,024135,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,024153,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,024315,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,024351,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,024513,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,024531,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,025134,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,025143,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,025314,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,025341,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,025413,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,025431,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,031245,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,031254,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,031425,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,031452,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,031524,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,031542,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,032145,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,032154,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,032415,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,032451,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,032514,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,032541,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,034125,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,034152,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,034215,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,034251,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,034512,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,034521,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,035124,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,035142,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,035214,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,035241,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,035412,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,035421,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,041235,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,041253,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,041325,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,041352,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,041523,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,041532,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042135,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042153,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042315,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042351,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042513,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,042531,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,043125,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
point_positive,uniform,043152,1/720,4,supported,4,supported,logical,105/16,1/16,0,0
